event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
BFO9727,2023-04-28,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2022-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,854,Western Africa,Burkina Faso,Nord,Yatenga,Kossouka,Kossouka,13.3714,-1.8983,2,RTB,National,"On 28 April 2023, the Burkinabe air force carried out air strikes against presumed JNIM militants in the area of Kossouka (Kossouka, Yatenga). An unspecified number of militants were killed. Fatalities estimated as low and coded as 3.",3,,1683041275
BFO9728,2023-04-28,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2022-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,854,Western Africa,Burkina Faso,Est,Gourma,Matiacoali,Ougarou,12.158,0.931,2,RTB,National,"On 28 April 2023, the Burkinabe air force carried out air strikes against presumed JNIM militants in the area of Ougarou (Matiacoali, Gourma). An unspecified number of militants were killed. Fatalities estimated as low and coded as 3.",3,,1683041275
BFO9743,2023-04-28,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),VDP: Volunteer for Defense of Homeland,7,27,Civilian targeting,854,Western Africa,Burkina Faso,Est,Gourma,Fada Ngourma,Koare,11.9429,0.298,1,Whatsapp,New media,"On 28 April 2023, presumed JNIM militants attacked the village of Koare (Fada Ngourma, Gourma). The militants killed two civilians and one volunteer fighter (VDP; off-duty). They also set fire to houses.",3,,1683041275
MAA1590,2023-04-28,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mauritania),Labor Group (Mauritania),6,,,0,60,,478,Western Africa,Mauritania,Nouakchott,Tevragh-Zeina,,Nouakchott,18.0801,-15.9777,1,Cridem,National,"On 28 April 2023, for a second consecutive day, dozens of non-permanent workers in ministries held a protest sit-in in front of the presidency in Nouakchott (Tevragh-Zeina, Nouakchott) calling for an increase in their salaries.",0,crowd size=dozens,1683041275
MLI30031,2023-04-28,2023,1,Political violence,Riots,Mob violence,Rioters (Mali),Taxi Drivers (Mali),5,Police Forces of Mali (2021-),,1,15,,466,Western Africa,Mali,Sikasso,Sikasso,Sikasso,Sikasso,11.3164,-5.6777,1,Studio Tamani,National,"On 28 April 2023, a number of residents and motortaxi drivers vandalized several police checkpoints in the town of Sikasso (Sikasso, Sikasso). The reaction came in response to an accident triggered by the pursuit of a motortaxi driver by the police.",0,crowd size=no report,1683041275
MLI30039,2023-04-28,2023,1,Political violence,Violence against civilians,Abduction/forced disappearance,Police Forces of Mali (2021-),,1,Civilians (Mali),Journalists (Mali),7,17,Civilian targeting,466,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.65,-8.0,1,Reelle Afrique; Twitter,New media,"On 28 April 2023, masked men (believed to be State Security Services (SE)) abducted a blogger in the capital of Bamako (Bamako, Bamako).",0,,1683041275
MLI30047,2023-04-28,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2021-),Dan Na Ambassagou,1,12,,466,Western Africa,Mali,Mopti,Bankass,Bankass,Kessagourou,14.0578,-3.4614,1,Le Pays Dogon; Undisclosed Source,Local partner-Other,"On 28 April 2023, JNIM militants attacked the village of Kessagourou (Bankass, Mopti). FAMa soldiers and Dan Na Ambassagou militiamen repelled the attack. There were no casualties.",0,,1683041275
MLI30051,2023-04-28,2023,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Mali),,7,27,,466,Western Africa,Mali,Gao,Ansongo,Ansongo,Bazi-Gourma,15.6991,0.4326,1,Undisclosed Source,Local partner-Other,"Looting: On 28 April 2023, JNIM militants seized sheep and cattle in Mecara, a neighborhood in the village of Bazi-Gourma (Ansongo, Gao).",0,,1683041275
MLI30052,2023-04-28,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Mali),Yerewolo Ton Movement,6,,,0,60,,466,Western Africa,Mali,Bamako,Bamako,Commune III,Bamako,12.65,-8.0,1,Sahelien; Yerewolo debout sur les remparts,Other-Regional,"On 28 April 2023, a large number of people of the Yerewolo movement held a demonstration meeting and demonstrated at the Palace of Culture in the capital Bamako (Bamako, Bamako). The demonstrators called for the departure of the UN mission MINUSMA.",0,crowd size=a large number,1683041275
MLI30059,2023-04-28,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mali),,3,Civilians (Mali),,7,37,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gounzoureye,Kadji,16.2188,-0.0712,1,Studio Tamani; Undisclosed Source,Local partner-Other,"On 28 April 2023, the lifeless body of an elderly person was found in Kadji (Gao, Gao). According to the initial police investigation, the individual was shot and killed. The body has been taken to the morgue at Gao hospital.",1,,1683041275
